Resume ID,Resume Text,Education,Experience Years,Skills,Job Role,Category
R000044,"Education: Master's in Relevant Field Experience: 2 years Skills: Analysis, Strategic Thinking, PyTorch, Sales, Mobile Security, Research, Communication, Writing",Master's in Relevant Field,2,Analysis|Strategic Thinking|PyTorch|Sales|Mobile Security|Research|Communication|Writing|Responsive Design|Policy Expertise|Kubernetes,Policy Advisor,Government & Public Service
R000045,"Education: Massage Therapy School Experience: 2 years Skills: Problem Solving, Customer Service, Massage Therapy, Empathy, Penetration Testing, Flutter, Machine Learning, Communication",Massage Therapy School,2,Problem Solving|Customer Service|Massage Therapy|Empathy|Penetration Testing|Flutter|Machine Learning|Communication|Anatomy,Massage Therapist,Beauty & Wellness
R000046,"Education: Bachelor's in Environmental Science Experience: 3 years Skills: CI/CD, Problem Solving, Public Safety, Outdoor Skills, React Native, Conservation, Communication, Environmental Knowledge",Bachelor's in Environmental Science,3,CI/CD|Problem Solving|Public Safety|Outdoor Skills|React Native|Conservation|Communication|Environmental Knowledge|CSS,Park Ranger,Conservation
R000047,"Education: Bachelor's in Botany Experience: 4 years Skills: User Experience, Problem Solving, Project Management, Microservices, Communication, Field Work, Plant Science, Flutter",Bachelor's in Botany,4,User Experience|Problem Solving|Project Management|Microservices|Communication|Field Work|Plant Science|Flutter|Data Analysis|Research,Botanist,Science & Research
R000048,"Education: Bachelor's in Statistics Experience: 2 years Skills: Figma, Excel, Statistical Analysis, Tableau, SQL, Confluence, Data Visualization, Python",Bachelor's in Statistics,2,Figma|Excel|Statistical Analysis|Tableau|SQL|Confluence|Data Visualization|Python|App Testing,Data Analyst,Data & Analytics
R000049,"Education: Bachelor's in Computer Science Experience: 4 years Skills: Problem Solving, Client Relations, Adobe Creative Suite, PyTorch, Communication, Product Knowledge, Jenkins, Account Management",Bachelor's in Computer Science,4,Problem Solving|Client Relations|Adobe Creative Suite|PyTorch|Communication|Product Knowledge|Jenkins|Account Management|Technical Knowledge,Technical Account Manager,Technology
R000050,"Education: Master's in Strategy Experience: 6 years Skills: Shell Scripting, Analysis, Documentation, Market Knowledge, Communication, Problem Solving, User Interface, Query Optimization",Master's in Strategy,6,Shell Scripting|Analysis|Documentation|Market Knowledge|Communication|Problem Solving|User Interface|Query Optimization|Leadership|Vue.js|Strategic Thinking,Strategy Consultant,Consulting
R000051,"Education: Museum Studies Experience: 3 years Skills: Curation, Problem Solving, Communication, Java, Art Knowledge, Microservices, Management, Research",Museum Studies,3,Curation|Problem Solving|Communication|Java|Art Knowledge|Microservices|Management|Research,Museum Curator,Arts & Culture
R000052,"Education: Medical Degree Experience: 5 years Skills: REST API, Decision Making, Go, Network Security, Medical Knowledge, Angular, NumPy, Empathy",Medical Degree,5,REST API|Decision Making|Go|Network Security|Medical Knowledge|Angular|NumPy|Empathy|Treatment|Diagnosis|Patient Communication,Physician,Healthcare
R000053,"Education: Bachelor's in Computer Science Experience: 1 years Skills: React, Java Interop, Coroutines, Kanban, Android Development, Problem Solving, Mobile Development, Kotlin",Bachelor's in Computer Science,1,React|Java Interop|Coroutines|Kanban|Android Development|Problem Solving|Mobile Development|Kotlin,Kotlin Developer,Technology
R000054,"Education: High School Experience: 2 years Skills: Agile, Problem Solving, Customer Relations, Inventory, Sales, Staff Management, Web Design, Store Management",High School,2,Agile|Problem Solving|Customer Relations|Inventory|Sales|Staff Management|Web Design|Store Management|Leadership,Store Manager,Retail & Hospitality
R000055,"Education: Culinary School Experience: 5 years Skills: Kitchen Management, Leadership, Kubernetes, Serverless, Culinary Skills, Creativity, Training, Penetration Testing",Culinary School,5,Kitchen Management|Leadership|Kubernetes|Serverless|Culinary Skills|Creativity|Training|Penetration Testing|Food Safety|Financial Analysis,Sous Chef,Hospitality & Food Service
R000056,"Education: Bachelor's in Environmental Science Experience: 3 years Skills: Problem Solving, Flutter, Outdoor Skills, Environmental Knowledge, Conservation, CSS, Confluence, Public Safety",Bachelor's in Environmental Science,3,Problem Solving|Flutter|Outdoor Skills|Environmental Knowledge|Conservation|CSS|Confluence|Public Safety|Communication|MySQL,Park Ranger,Conservation
R000057,"Education: Master's in Science Experience: 1 years Skills: Data Analysis, Writing, Problem Solving, Research, HTML, Experimentation, Scrum, Scientific Knowledge",Master's in Science,1,Data Analysis|Writing|Problem Solving|Research|HTML|Experimentation|Scrum|Scientific Knowledge,Research Scientist,Research & Development
R000058,"Education: Bachelor's in Physical Education Experience: 0 years Skills: Kanban, P&L Management, Athletic Knowledge, Coaching, Risk Assessment, Leadership, Training Program Design, Communication",Bachelor's in Physical Education,0,Kanban|P&L Management|Athletic Knowledge|Coaching|Risk Assessment|Leadership|Training Program Design|Communication|Motivation,Coach,Sports & Recreation
R000059,"Education: Bachelor's in Computer Science Experience: 0 years Skills: Jenkins, JavaScript, C#, CMS, NumPy, Web Design, PHP, MySQL",Bachelor's in Computer Science,0,Jenkins|JavaScript|C#|CMS|NumPy|Web Design|PHP|MySQL|Joomla|Theme Development,Joomla Developer,Technology
R000060,"Education: Bachelor's in Marketing Experience: 2 years Skills: R, Jira, CRM, Product Knowledge, Client Relationships, Communication, Flutter, P&L Management",Bachelor's in Marketing,2,R|Jira|CRM|Product Knowledge|Client Relationships|Communication|Flutter|P&L Management|Negotiation|Selling,Sales Executive,Marketing & Sales
R000061,"Education: High School Experience: 0 years Skills: Point of Sale, Time Management, Accuracy, CSS, Cash Handling, User Experience, Customer Service, Friendliness",High School,0,Point of Sale|Time Management|Accuracy|CSS|Cash Handling|User Experience|Customer Service|Friendliness|Flutter|Communication|Problem Solving,Cashier,Retail & Hospitality
R000062,"Education: Bachelor's in IT Experience: 1 years Skills: Database Optimization, Security, Marketing, SQL, MongoDB, Backup Recovery, Linux, Financial Analysis",Bachelor's in IT,1,Database Optimization|Security|Marketing|SQL|MongoDB|Backup Recovery|Linux|Financial Analysis,Database Administrator,Technology
R000063,"Education: Salesforce Certification Experience: 4 years Skills: Lightning, Mobile Security, MySQL, Salesforce, Apex, Data Analysis, Mobile UI/UX, VisualForce",Salesforce Certification,4,Lightning|Mobile Security|MySQL|Salesforce|Apex|Data Analysis|Mobile UI/UX|VisualForce|Problem Solving|CRM,Salesforce Developer,Technology
R000064,"Education: Networking Certification Experience: 5 years Skills: Routing, Networking, Adobe Creative Suite, TCP/IP, Configuration, Cisco, Security, Flutter",Networking Certification,5,Routing|Networking|Adobe Creative Suite|TCP/IP|Configuration|Cisco|Security|Flutter,Network Engineer,Technology
R000065,"Education: Broadcasting Experience: 2 years Skills: Professionalism, PyTorch, Communication, Public Speaking, Voice Skills, Quick Thinking, Pronunciation, Responsive Design",Broadcasting,2,Professionalism|PyTorch|Communication|Public Speaking|Voice Skills|Quick Thinking|Pronunciation|Responsive Design|Swift|Problem Solving|Scala,Announcer,Media & Entertainment
R000066,"Education: Bachelor's in Computer Science Experience: 1 years Skills: Drupal, MySQL, Theme Development, Communication, Module Development, Azure, JavaScript, GCP",Bachelor's in Computer Science,1,Drupal|MySQL|Theme Development|Communication|Module Development|Azure|JavaScript|GCP|PHP|Adobe Creative Suite,Drupal Developer,Technology
R000067,"Education: Master's in Non-profit Management Experience: 8 years Skills: Communication, Vision, CloudFormation, C++, Non-profit Leadership, Fundraising, Budget Management, Documentation",Master's in Non-profit Management,8,Communication|Vision|CloudFormation|C++|Non-profit Leadership|Fundraising|Budget Management|Documentation|Strategic Planning,Non-profit Director,Non-profit & Charity
R000068,"Education: Bachelor's in Computer Science Experience: 2 years Skills: Marketing, CI/CD, Compliance, Security, TypeScript, Microservices, Linux, Container Security",Bachelor's in Computer Science,2,Marketing|CI/CD|Compliance|Security|TypeScript|Microservices|Linux|Container Security|DevOps,DevSecOps Engineer,Technology
R000069,"Education: Dental License Experience: 1 years Skills: GraphQL, Patient Communication, Web Design, Clinical Skills, Dental Procedures, Flask, Firewalls, Compassion",Dental License,1,GraphQL|Patient Communication|Web Design|Clinical Skills|Dental Procedures|Flask|Firewalls|Compassion|Diagnosis|Attention to Detail,Dentist,Healthcare
R000070,"Education: High School Experience: 2 years Skills: Problem Solving, Financial Analysis, Teamwork, Critical Thinking, Customer Service, Product Knowledge, Marketing, Communication",High School,2,Problem Solving|Financial Analysis|Teamwork|Critical Thinking|Customer Service|Product Knowledge|Marketing|Communication|Sales,Sales Associate,Retail & Hospitality
R000071,"Education: Bachelor's in IT Experience: 2 years Skills: GCP, Data Visualization, Analytics, Looker, SQL, MySQL, Dashboard Development, LookML",Bachelor's in IT,2,GCP|Data Visualization|Analytics|Looker|SQL|MySQL|Dashboard Development|LookML|Decision Making|Go,Looker Developer,Data & Analytics
R000072,"Education: Bachelor's in Business Experience: 4 years Skills: Real Estate Knowledge, CloudFormation, Adobe Creative Suite, Swift, Business Development, Communication, Negotiation, Sales Leadership",Bachelor's in Business,4,Real Estate Knowledge|CloudFormation|Adobe Creative Suite|Swift|Business Development|Communication|Negotiation|Sales Leadership|Team Management,Real Estate Broker,Construction & Real Estate
R000073,"Education: High School Experience: 0 years Skills: Accuracy, Cash Handling, Technical Writing, Point of Sale, Friendliness, App Testing, Customer Service, Communication",High School,0,Accuracy|Cash Handling|Technical Writing|Point of Sale|Friendliness|App Testing|Customer Service|Communication,Cashier,Retail & Hospitality
R000074,"Education: Bachelor's in Manufacturing Engineering Experience: 1 years Skills: Process Design, Network Security, Quality Control, Go, CAD, Equipment Knowledge, Problem Solving, Jira",Bachelor's in Manufacturing Engineering,1,Process Design|Network Security|Quality Control|Go|CAD|Equipment Knowledge|Problem Solving|Jira|Production Planning,Manufacturing Engineer,Engineering & Manufacturing
R000075,"Education: Bachelor's in Computer Science Experience: 0 years Skills: Financial Analysis, API Integration, Problem Solving, Strategic Planning, Adobe Creative Suite, Marketing, JavaScript, TensorFlow",Bachelor's in Computer Science,0,Financial Analysis|API Integration|Problem Solving|Strategic Planning|Adobe Creative Suite|Marketing|JavaScript|TensorFlow|E-commerce|Liquid|Shopify,Shopify Developer,Technology
R000076,"Education: Bachelor's in Business Experience: 1 years Skills: Scikit-learn, Excel, SQL, Deep Learning, Data Analysis, Tableau, Power BI, Reporting",Bachelor's in Business,1,Scikit-learn|Excel|SQL|Deep Learning|Data Analysis|Tableau|Power BI|Reporting,BI Analyst,Data & Analytics
R000077,"Education: Design Certification Experience: 4 years Skills: Scikit-learn, Branding, User Experience, Visual Communication, Attention to Detail, Creativity, Adobe Creative Suite, Design Software",Design Certification,4,Scikit-learn|Branding|User Experience|Visual Communication|Attention to Detail|Creativity|Adobe Creative Suite|Design Software|Kotlin,Graphic Designer,Creative & Design
R000078,"Education: Bachelor's in Computer Science Experience: 2 years Skills: Apache Kafka, Streaming, Oracle, Scalability, Pandas, Distributed Systems, Event Processing, Problem Solving",Bachelor's in Computer Science,2,Apache Kafka|Streaming|Oracle|Scalability|Pandas|Distributed Systems|Event Processing|Problem Solving|Teamwork|SQL,Kafka Developer,Technology
R000079,"Education: Architecture Certification Experience: 7 years Skills: R, System Architecture, Technical Expertise, Business Acumen, Pandas, User Interface, Cassandra, Leadership",Architecture Certification,7,R|System Architecture|Technical Expertise|Business Acumen|Pandas|User Interface|Cassandra|Leadership|Communication|Solution Design,Solution Architect,Technology
R000080,"Education: Massage Therapy School Experience: 2 years Skills: MySQL, Ansible, Communication, Mobile Security, Problem Solving, Anatomy, Customer Service, PHP",Massage Therapy School,2,MySQL|Ansible|Communication|Mobile Security|Problem Solving|Anatomy|Customer Service|PHP|Empathy|Massage Therapy|CloudFormation,Massage Therapist,Beauty & Wellness
R000081,"Education: Administrative Certification Experience: 3 years Skills: Leadership Support, Communication, Executive Support, Responsive Design, Tableau, CloudFormation, Problem Solving, Organization",Administrative Certification,3,Leadership Support|Communication|Executive Support|Responsive Design|Tableau|CloudFormation|Problem Solving|Organization|Discretion|GCP,Executive Assistant,Administration
R000082,"Education: Bachelor's in Mechanical Engineering Experience: 0 years Skills: Kotlin, Jenkins, Technical Documentation, Penetration Testing, Mechanical Design, Thermodynamics, Prototyping, Problem Solving",Bachelor's in Mechanical Engineering,0,Kotlin|Jenkins|Technical Documentation|Penetration Testing|Mechanical Design|Thermodynamics|Prototyping|Problem Solving|Communication|CAD|Physics,Mechanical Engineer,Engineering & Manufacturing
R000083,"Education: IT Certification Experience: 2 years Skills: AWS, Cassandra, CI/CD, Java, Terraform, React Native, Linux, Kubernetes",IT Certification,2,AWS|Cassandra|CI/CD|Java|Terraform|React Native|Linux|Kubernetes|Docker|Scripting|App Testing,DevOps Engineer,Technology
R000084,"Education: Bachelor's in Business Experience: 6 years Skills: TensorFlow, Marketing, TypeScript, Sales Strategy, CRM, Negotiation, Perl, Target Setting",Bachelor's in Business,6,TensorFlow|Marketing|TypeScript|Sales Strategy|CRM|Negotiation|Perl|Target Setting|Communication|Team Leadership,Sales Manager,Marketing & Sales
R000085,"Education: Real Estate License Experience: 2 years Skills: Communication, Property Knowledge, Negotiation, Customer Service, Shell Scripting, Mentoring, Sales, Marketing",Real Estate License,2,Communication|Property Knowledge|Negotiation|Customer Service|Shell Scripting|Mentoring|Sales|Marketing|Financial Analysis,Real Estate Agent,Construction & Real Estate
R000086,"Education: Bachelor's in Engineering Experience: 4 years Skills: Technical Knowledge, Project Management, Communication, Graphic Design, R, Documentation, Coordination, Problem Solving",Bachelor's in Engineering,4,Technical Knowledge|Project Management|Communication|Graphic Design|R|Documentation|Coordination|Problem Solving|Leadership,Project Engineer,Engineering & Manufacturing
R000087,"Education: Bachelor's in Business Experience: 1 years Skills: Analytics, Web Design, Adaptability, Java, Account Management, Communication, Customer Relations, Product Knowledge",Bachelor's in Business,1,Analytics|Web Design|Adaptability|Java|Account Management|Communication|Customer Relations|Product Knowledge|React Native|Problem Solving,Customer Success Manager,Sales & Customer Service
